Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,URL_Entropy,Domain_Entropy,Subdomain_Count,Digit_Count,Special_Char_Count,Uppercase_Ratio,Domain_Age,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
webmaster0212.weebly.com,0,0,0,0,0,0,0,0,4.150158513166728,3.834962500721156,1,4,0,0.0,-1,1,1,1,1,1
docs.google.com,0,0,1,5,0,0,0,0,5.61594471820237,2.9735572622751856,1,18,7,0.22285714285714286,-1,1,0,1,0,1
tinyurl.com,0,0,0,1,0,0,1,0,4.253434386188784,3.459431618637298,0,1,0,0.07142857142857142,-1,1,0,1,0,1
34cab6b21242.godaddysites.com,0,0,0,0,0,0,0,0,4.306494947369445,4.0472990984266435,1,8,0,0.0,-1,1,1,1,1,1
tinyurl.com,0,0,0,1,0,0,1,0,4.3248629576173565,3.459431618637298,0,2,0,0.0,-1,1,0,1,0,1
q-r.to,0,0,0,1,0,0,0,1,3.846439344671016,2.584962500721156,0,1,0,0.1,-1,1,0,1,0,1
q-r.to,0,0,0,1,0,0,0,1,3.9394709940012875,2.584962500721156,0,0,0,0.09523809523809523,-1,1,0,1,0,1
0lxpo.wysylkiprezentowe.shop,0,0,1,3,0,0,0,0,4.480471076767666,3.9407598325400897,1,9,0,0.0,-1,1,0,1,0,1
pub-5f77b2b15c504f8c95df17915a88aa03.r2.dev,0,0,1,1,0,0,0,1,4.774220253998625,4.213730673599362,1,22,0,0.0,-1,1,0,1,0,1
wshzizbi.blogspot.com,0,0,0,0,0,0,1,0,3.8833374604210062,3.6897037321995474,1,0,0,0.0,-1,1,1,1,1,1
support--app-ledger.webflow.io,0,0,0,0,0,0,0,1,4.1217079115480395,3.8980685120588388,1,0,0,0.0,-1,1,0,1,0,1
melkonjlo.firebaseapp.com,0,0,0,0,0,0,0,0,4.175123135113461,3.8634651896016474,1,0,0,0.0,-1,1,1,1,1,1
at7t.univer.se,0,0,0,0,0,0,0,0,3.7081320646586016,3.378783493486176,1,1,0,0.0,-1,1,1,1,1,1
pub-bb55aedf0ff24aa5883cbfa402ea4ed7.r2.dev,0,0,1,1,0,0,0,1,4.637395485274672,4.016283580676733,1,15,0,0.0,-1,1,0,1,0,1
paytollmcg.vip,0,0,0,0,0,0,0,0,3.8164027166443866,3.5216406363433186,0,0,0,0.0,-1,1,1,1,1,1
bc000456r.webcindario.com,0,0,0,0,0,0,0,0,4.314972767530033,3.8634651896016474,1,6,0,0.0,-1,1,1,1,1,1
docs.google.com,0,0,1,4,0,0,0,0,5.206022893115135,2.9735572622751856,1,8,0,0.23809523809523808,-1,1,0,1,0,1
qrco.de,0,0,0,1,0,0,0,0,4.061482186720776,2.8073549220576046,0,0,0,0.09090909090909091,-1,1,0,1,0,1
cha5e1-verify.firebaseapp.com,0,0,0,0,0,0,0,1,4.240962710641207,4.004364184708142,1,2,0,0.0,-1,1,1,1,1,1
t.co,0,0,0,1,0,0,1,0,4.110093477608016,2.0,0,3,0,0.21739130434782608,-1,1,0,1,0,1
l.ead.me,0,0,0,1,0,0,0,0,4.0559581516151235,2.5,1,0,0,0.17391304347826086,-1,1,1,1,1,1
app-trezorio-starts.webflow.io,0,0,0,0,0,0,0,1,3.9872178475009488,3.7898980954642876,1,0,0,0.0,-1,1,1,1,1,1
dropbox.com,0,0,1,4,0,0,1,0,5.093758100696237,3.027169118440619,0,12,3,0.03636363636363636,-1,1,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,5.627637147760133,2.9735572622751856,1,19,7,0.18857142857142858,-1,1,0,1,0,1
docs.google.com,0,0,1,4,0,0,0,0,5.239488213708738,2.9735572622751856,1,11,7,0.13740458015267176,-1,1,0,1,0,1
droits.typeform.com,0,0,0,2,0,0,0,0,4.321052463107458,3.576617644908666,1,2,0,0.15384615384615385,-1,1,0,1,0,1
bit.ly,0,0,0,1,0,0,1,0,4.027169118440618,2.584962500721156,0,1,0,0.045454545454545456,-1,1,0,1,0,1
tinyurl.com,0,0,0,1,0,0,1,0,4.137537511266052,3.459431618637298,0,3,0,0.0,-1,1,0,1,0,1
bit.ly,0,0,0,1,0,0,1,0,3.936260027531527,2.584962500721156,0,2,0,0.09090909090909091,-1,1,0,1,0,1
